company_id,ticker,company_name,sector,exchange,currency,source
TOTS3.SA,TOTS3.SA,TOTVS S.A.,Software-Enabled Services,B3,BRL,B3-listed public company universe
LWSA3.SA,LWSA3.SA,LWSA S.A.,Software-Enabled Services,B3,BRL,B3-listed public company universe
BMOB3.SA,BMOB3.SA,Bemobi Mobile Tech S.A.,Software-Enabled Services,B3,BRL,B3-listed public company universe
CSUD3.SA,CSUD3.SA,CSU Digital S.A.,Software-Enabled Services,B3,BRL,B3-listed public company universe
VLID3.SA,VLID3.SA,Valid Solucoes S.A.,Software-Enabled Services,B3,BRL,B3-listed public company universe
NGRD3.SA,NGRD3.SA,Neogrid S.A.,Software-Enabled Services,B3,BRL,B3-listed public company universe
PRNR3.SA,PRNR3.SA,Priner Servicos Industriais S.A.,B2B Services,B3,BRL,B3-listed public company universe
GOOGL,GOOGL,Alphabet Inc.,Mega-Cap Tech & Digital Platforms,NASDAQ,USD,US mega-cap technology public universe
MSFT,MSFT,Microsoft Corporation,Mega-Cap Tech & Digital Platforms,NASDAQ,USD,US mega-cap technology public universe
META,META,"Meta Platforms, Inc.",Mega-Cap Tech & Digital Platforms,NASDAQ,USD,US mega-cap technology public universe
AMZN,AMZN,"Amazon.com, Inc.",Mega-Cap Tech & Digital Platforms,NASDAQ,USD,US mega-cap technology public universe
ADBE,ADBE,Adobe Inc.,Mega-Cap Tech & Digital Platforms,NASDAQ,USD,US mega-cap technology public universe
CRM,CRM,"Salesforce, Inc.",Mega-Cap Tech & Digital Platforms,NYSE,USD,US mega-cap technology public universe
NFLX,NFLX,"Netflix, Inc.",Mega-Cap Tech & Digital Platforms,NASDAQ,USD,US mega-cap technology public universe
