company_id,period,revenue,gross_profit,ebitda,ebit,net_income,cfo,capex,fcf,cash,total_debt,net_debt,working_capital,interest_expense,source
ADBE,2025-06-30,5873.0,5235.0,2378.0,2169.0,1691.0,2191.0,47.0,2144.0,5713.0,6563.0,1235.0,-61.0,68.0,Yahoo Finance public market data via yfinance
ADBE,2025-09-30,5988.0,5346.0,2462.0,2254.0,1772.0,2198.0,72.0,2126.0,5940.0,6636.0,1218.0,173.0,67.0,Yahoo Finance public market data via yfinance
ADBE,2025-12-31,6194.0,5545.0,2514.0,2330.0,1856.0,3160.0,34.0,3126.0,6595.0,6648.0,779.0,-37.0,66.0,Yahoo Finance public market data via yfinance
ADBE,2026-03-31,6398.0,5734.0,2659.0,2485.0,1889.0,2958.0,37.0,2921.0,6890.0,6656.0,,-1004.0,63.0,Yahoo Finance public market data via yfinance
ADBE,2026-06-30,6618.0,5903.0,2496.0,2303.0,1712.0,2165.0,58.0,2107.0,5626.0,7065.0,1726.0,-3010.0,65.0,Yahoo Finance public market data via yfinance
AMZN,2025-03-31,155667.0,78691.0,36482.0,22220.0,17127.0,17015.0,25019.0,-8004.0,94565.0,133245.0,,8474.0,541.0,Yahoo Finance public market data via yfinance
AMZN,2025-06-30,167702.0,86893.0,36600.0,21373.0,18164.0,32515.0,32183.0,332.0,93180.0,133939.0,,4499.0,516.0,Yahoo Finance public market data via yfinance
AMZN,2025-09-30,180169.0,91499.0,45504.0,28708.0,21187.0,35525.0,35095.0,430.0,94197.0,135419.0,,1670.0,538.0,Yahoo Finance public market data via yfinance
AMZN,2025-12-31,213386.0,103427.0,46755.0,27284.0,21192.0,54459.0,39522.0,14937.0,123029.0,152987.0,,11078.0,679.0,Yahoo Finance public market data via yfinance
AMZN,2026-03-31,181519.0,94056.0,59579.0,40634.0,30255.0,26032.0,44203.0,-18171.0,143089.0,209888.0,17258.0,38399.0,800.0,Yahoo Finance public market data via yfinance
BMOB3.SA,2025-03-31,387.575,95.888,62.495,45.092,31.172,29.434,13.237,16.197000000000003,520.439,5.428,,672.714,0.198,Yahoo Finance public market data via yfinance
BMOB3.SA,2025-06-30,408.524,103.688,69.797,52.285,33.233,28.233,14.8,13.433,492.436,25.627,,675.989,0.242,Yahoo Finance public market data via yfinance
BMOB3.SA,2025-09-30,438.405,114.646,73.437,56.096,41.019,25.75,15.219,10.531,475.183,25.058,,686.02,0.416,Yahoo Finance public market data via yfinance
BMOB3.SA,2025-12-31,461.903,122.563,63.396,46.249,51.236,34.193,13.355,20.837999999999997,363.156,24.771,,589.341,0.412,Yahoo Finance public market data via yfinance
BMOB3.SA,2026-03-31,482.959,130.094,78.829,59.571,34.212,-11.341,13.277,-24.618,349.216,45.595,,631.569,1.711,Yahoo Finance public market data via yfinance
CRM,2025-06-30,9829.0,7564.0,2885.0,2042.0,1541.0,6476.0,179.0,6297.0,17408.0,11369.0,,1670.0,68.0,Yahoo Finance public market data via yfinance
CRM,2025-09-30,10236.0,7994.0,3153.0,2336.0,1887.0,740.0,135.0,605.0,15372.0,11237.0,,2799.0,,Yahoo Finance public market data via yfinance
CRM,2025-12-31,10259.0,8004.0,3299.0,2448.0,2086.0,2316.0,139.0,2177.0,11323.0,11139.0,,-347.0,,Yahoo Finance public market data via yfinance
CRM,2026-03-31,11201.0,8693.0,3275.0,2155.0,1943.0,5464.0,141.0,5323.0,9565.0,17176.0,7112.0,-8896.0,,Yahoo Finance public market data via yfinance
CRM,2026-06-30,11133.0,8563.0,4023.0,3038.0,2107.0,6701.0,145.0,6556.0,11837.0,41884.0,30345.0,-5889.0,317.0,Yahoo Finance public market data via yfinance
CSUD3.SA,2025-03-31,150.692,63.076,47.628,32.663,24.434,22.181,19.738,2.4430000000000014,78.131,63.071,,43.813,1.723,Yahoo Finance public market data via yfinance
CSUD3.SA,2025-06-30,154.705,64.34,48.27,32.768,23.68,46.687,17.776,28.910999999999998,78.053,57.98,,36.42,1.822,Yahoo Finance public market data via yfinance
CSUD3.SA,2025-09-30,153.698,61.827,47.399,31.395,23.801,60.647,19.557,41.09,100.728,49.383,,45.753,1.666,Yahoo Finance public market data via yfinance
CSUD3.SA,2025-12-31,164.434,68.609,36.903,21.253,34.136,3.078,24.526,-21.448,75.674,123.595,7.029,77.278,1.596,Yahoo Finance public market data via yfinance
CSUD3.SA,2026-03-31,167.287,70.135,48.285,31.435,20.134,50.099,21.244,28.854999999999997,95.31,148.687,,49.299,3.147,Yahoo Finance public market data via yfinance
GOOGL,2025-03-31,90234.0,53873.0,46310.0,41823.0,34540.0,36150.0,17197.0,18953.0,95328.0,23564.0,,70398.0,34.0,Yahoo Finance public market data via yfinance
GOOGL,2025-06-30,96428.0,57389.0,39192.0,34194.0,28196.0,27747.0,22446.0,5301.0,95148.0,35559.0,2571.0,78906.0,261.0,Yahoo Finance public market data via yfinance
GOOGL,2025-09-30,102346.0,60977.0,49741.0,44130.0,34979.0,48414.0,23953.0,24461.0,98496.0,33713.0,,74397.0,143.0,Yahoo Finance public market data via yfinance
GOOGL,2025-12-31,113829.0,68062.0,45455.0,39415.0,34455.0,52402.0,27851.0,24551.0,126843.0,59291.0,15839.0,103293.0,298.0,Yahoo Finance public market data via yfinance
GOOGL,2026-03-31,109896.0,68625.0,84427.0,77945.0,62578.0,45790.0,35674.0,10116.0,126840.0,90484.0,39438.0,102565.0,533.0,Yahoo Finance public market data via yfinance
LWSA3.SA,2025-03-31,348.89,162.494,59.821,25.421,14.808,12.991,25.047,-12.056000000000001,399.269,78.246,,194.074,1.718,Yahoo Finance public market data via yfinance
LWSA3.SA,2025-06-30,370.776,177.193,85.348,49.729,15.808,132.601,29.901,102.7,277.287,81.473,,217.605,22.63,Yahoo Finance public market data via yfinance
LWSA3.SA,2025-09-30,387.405,182.413,-347.588,-384.881,-287.827,102.885,32.376,70.50900000000001,309.31,79.117,,249.414,18.458,Yahoo Finance public market data via yfinance
LWSA3.SA,2025-12-31,381.46,196.997,84.64,49.925,31.761,99.177,35.531,63.64600000000001,371.931,75.473,,270.378,1.812,Yahoo Finance public market data via yfinance
LWSA3.SA,2026-03-31,362.78,175.526,78.702,42.423,21.515,105.206,24.622,80.584,288.599,71.203,,148.21,1.671,Yahoo Finance public market data via yfinance
META,2025-03-31,42314.0,34742.0,22522.0,18622.0,16644.0,24026.0,12941.0,11085.0,70230.0,49519.0,79.0,56337.0,240.0,Yahoo Finance public market data via yfinance
META,2025-06-30,47516.0,39025.0,25117.0,20775.0,18337.0,25561.0,16538.0,9023.0,47071.0,49560.0,16827.0,36308.0,241.0,Yahoo Finance public market data via yfinance
META,2025-09-30,51242.0,42036.0,26853.0,21890.0,2709.0,29999.0,18829.0,11170.0,44448.0,51060.0,18647.0,36160.0,227.0,Yahoo Finance public market data via yfinance
META,2025-12-31,59893.0,48987.0,31221.0,25810.0,22768.0,36214.0,21383.0,14831.0,81592.0,83897.0,22871.0,66886.0,456.0,Yahoo Finance public market data via yfinance
META,2026-03-31,56311.0,46093.0,28313.0,22314.0,26773.0,32226.0,18997.0,13229.0,81180.0,86769.0,35322.0,63012.0,562.0,Yahoo Finance public market data via yfinance
