company_id,period,share_price,shares_outstanding,market_cap,enterprise_value,source
ADBE,2025-06-30,386.8800048828125,429000000.0,165971.52209472656,167206.52209472656,Yahoo Finance public market data via yfinance
ADBE,2025-09-30,352.75,424000000.0,149566.0,150784.0,Yahoo Finance public market data via yfinance
ADBE,2025-12-31,349.989990234375,417000000.0,145945.82592773438,146724.82592773438,Yahoo Finance public market data via yfinance
ADBE,2026-03-31,243.0800018310547,411000000.0,99905.88075256348,,Yahoo Finance public market data via yfinance
ADBE,2026-06-30,205.02000427246094,402000000.0,82418.0417175293,84144.0417175293,Yahoo Finance public market data via yfinance
AMZN,2025-03-31,190.25999450683594,10793000000.0,2053476.1207122803,,Yahoo Finance public market data via yfinance
AMZN,2025-06-30,219.38999938964844,10806000000.0,2370728.333404541,,Yahoo Finance public market data via yfinance
AMZN,2025-09-30,219.57000732421875,10845000000.0,2381236.7294311523,,Yahoo Finance public market data via yfinance
AMZN,2025-12-31,230.82000732421875,10863000000.0,2507397.7395629883,,Yahoo Finance public market data via yfinance
AMZN,2026-03-31,208.27000427246094,10874000000.0,2264728.0264587402,2281986.0264587402,Yahoo Finance public market data via yfinance
BMOB3.SA,2025-03-31,17.149999618530273,84527000.0,1449.6380177555084,,Yahoo Finance public market data via yfinance
BMOB3.SA,2025-06-30,20.540000915527344,84367000.0,1732.8982572402954,,Yahoo Finance public market data via yfinance
BMOB3.SA,2025-09-30,23.139999389648438,84465000.0,1954.5200484466552,,Yahoo Finance public market data via yfinance
BMOB3.SA,2025-12-31,22.709999084472656,83258891.0,1890.8093383842088,,Yahoo Finance public market data via yfinance
BMOB3.SA,2026-03-31,26.850000381469727,84527000.0,2269.5499822444917,,Yahoo Finance public market data via yfinance
CRM,2025-06-30,272.69000244140625,970000000.0,264509.30236816406,,Yahoo Finance public market data via yfinance
CRM,2025-09-30,237.0,962000000.0,227994.0,,Yahoo Finance public market data via yfinance
CRM,2025-12-31,264.9100036621094,952000000.0,252194.32348632812,,Yahoo Finance public market data via yfinance
CRM,2026-03-31,186.6699981689453,940000000.0,175469.7982788086,182581.7982788086,Yahoo Finance public market data via yfinance
CRM,2026-06-30,156.66000366210938,871000000.0,136450.86318969727,166795.86318969727,Yahoo Finance public market data via yfinance
CSUD3.SA,2025-03-31,16.829999923706055,41156000.0,692.6554768600464,,Yahoo Finance public market data via yfinance
CSUD3.SA,2025-06-30,19.0,41211000.0,783.009,,Yahoo Finance public market data via yfinance
CSUD3.SA,2025-09-30,18.59000015258789,41169000.0,765.3317162818909,,Yahoo Finance public market data via yfinance
CSUD3.SA,2025-12-31,16.950000762939453,41348675.0,700.8600727965355,707.8890727965355,Yahoo Finance public market data via yfinance
CSUD3.SA,2026-03-31,17.81999969482422,41258000.0,735.2175474090576,,Yahoo Finance public market data via yfinance
GOOGL,2025-03-31,154.63999938964844,12291000000.0,1900680.232498169,,Yahoo Finance public market data via yfinance
GOOGL,2025-06-30,176.22999572753906,12198000000.0,2149653.4878845215,2152224.4878845215,Yahoo Finance public market data via yfinance
GOOGL,2025-09-30,243.10000610351562,12203000000.0,2966549.374481201,,Yahoo Finance public market data via yfinance
GOOGL,2025-12-31,313.0,12228000000.0,3827364.0,3843203.0,Yahoo Finance public market data via yfinance
GOOGL,2026-03-31,287.55999755859375,12238000000.0,3519159.2501220703,3558597.2501220703,Yahoo Finance public market data via yfinance
LWSA3.SA,2025-03-31,2.6700000762939453,555916000.0,1484.295762413025,,Yahoo Finance public market data via yfinance
LWSA3.SA,2025-06-30,3.950000047683716,548418299.0,2166.2523072006225,,Yahoo Finance public market data via yfinance
LWSA3.SA,2025-09-30,4.579999923706055,550534000.0,2521.445677997589,,Yahoo Finance public market data via yfinance
LWSA3.SA,2025-12-31,4.260000228881836,550431817.0,2344.839666403845,,Yahoo Finance public market data via yfinance
LWSA3.SA,2026-03-31,3.799999952316284,551291000.0,2094.9057737123967,,Yahoo Finance public market data via yfinance
META,2025-03-31,576.3599853515625,2590000000.0,1492772.3620605469,1492851.3620605469,Yahoo Finance public market data via yfinance
META,2025-06-30,738.0900268554688,2570000000.0,1896891.3690185547,1913718.3690185547,Yahoo Finance public market data via yfinance
META,2025-09-30,734.3800048828125,2572000000.0,1888825.3725585938,1907472.3725585938,Yahoo Finance public market data via yfinance
META,2025-12-31,660.0900268554688,2565000000.0,1693130.9188842773,1716001.9188842773,Yahoo Finance public market data via yfinance
META,2026-03-31,572.1300048828125,2564000000.0,1466941.3325195312,1502263.3325195312,Yahoo Finance public market data via yfinance
MSFT,2025-03-31,375.3900146484375,7461000000.0,2800784.899291992,2814837.899291992,Yahoo Finance public market data via yfinance
MSFT,2025-06-30,497.4100036621094,7461000000.0,3711176.037322998,3724085.037322998,Yahoo Finance public market data via yfinance
MSFT,2025-09-30,517.9500122070312,7466000000.0,3867014.7911376953,3881373.7911376953,Yahoo Finance public market data via yfinance
MSFT,2025-12-31,483.6199951171875,7460000000.0,3607805.1635742188,3623771.1635742188,Yahoo Finance public market data via yfinance
MSFT,2026-03-31,370.1700134277344,7445000000.0,2755915.7499694824,2764072.7499694824,Yahoo Finance public market data via yfinance
NFLX,2025-03-31,93.25299835205078,4369620000.0,407480.1666590881,415297.2366590881,Yahoo Finance public market data via yfinance
NFLX,2025-06-30,133.91299438476562,4348830000.0,582364.8473703003,588640.6483703003,Yahoo Finance public market data via yfinance
NFLX,2025-09-30,119.89199829101562,4340390000.0,520378.0304623413,525553.7634623413,Yahoo Finance public market data via yfinance
NFLX,2025-12-31,93.76000213623047,4317144000.0,404775.4306624145,410204.58566241455,Yahoo Finance public market data via yfinance
NFLX,2026-03-31,96.1500015258789,4298437000.0,413294.72410889436,415395.46810889436,Yahoo Finance public market data via yfinance
NGRD3.SA,2025-03-31,21.030000686645508,8846000.0,186.03138607406615,,Yahoo Finance public market data via yfinance
NGRD3.SA,2025-06-30,26.0,8913000.0,231.738,,Yahoo Finance public market data via yfinance
NGRD3.SA,2025-09-30,25.270000457763672,8938000.0,225.8632640914917,,Yahoo Finance public market data via yfinance
NGRD3.SA,2025-12-31,27.739999771118164,8955248.0,248.4185774703064,,Yahoo Finance public market data via yfinance
NGRD3.SA,2026-03-31,29.700000762939453,8955000.0,265.9635068321228,,Yahoo Finance public market data via yfinance
PRNR3.SA,2025-03-31,16.760000228881836,48500000.0,812.860011100769,1110.9410111007692,Yahoo Finance public market data via yfinance
PRNR3.SA,2025-06-30,15.175073623657227,48402810.0,734.5162053418923,1081.1922053418923,Yahoo Finance public market data via yfinance
PRNR3.SA,2025-09-30,16.90999984741211,52047000.0,880.1147620582581,1068.769762058258,Yahoo Finance public market data via yfinance
PRNR3.SA,2025-12-31,15.90999984741211,56720757.0,902.4272352150994,1369.7902352150993,Yahoo Finance public market data via yfinance
PRNR3.SA,2026-03-31,19.5,56720757.0,1106.0547615,1612.2947615,Yahoo Finance public market data via yfinance
TOTS3.SA,2024-12-31,26.75,573195003.0,15332.96633025,,Yahoo Finance public market data via yfinance
TOTS3.SA,2025-03-31,33.369998931884766,595512000.0,19872.23480392456,,Yahoo Finance public market data via yfinance
TOTS3.SA,2025-06-30,42.209999084472656,598626000.0,25268.002911941527,,Yahoo Finance public market data via yfinance
TOTS3.SA,2025-12-31,42.08000183105469,573195003.0,24120.046775791398,,Yahoo Finance public market data via yfinance
TOTS3.SA,2026-03-31,34.939998626708984,596792000.0,20851.91166043091,23999.34966043091,Yahoo Finance public market data via yfinance
VLID3.SA,2025-03-31,23.3799991607666,78786000.0,1842.0166138801574,,Yahoo Finance public market data via yfinance
VLID3.SA,2025-06-30,25.610000610351562,78740823.0,2016.5525250895844,,Yahoo Finance public market data via yfinance
VLID3.SA,2025-09-30,21.149999618530273,78700000.0,1664.5049699783326,,Yahoo Finance public market data via yfinance
VLID3.SA,2025-12-31,21.399999618530273,78400000.0,1677.7599700927735,,Yahoo Finance public market data via yfinance
VLID3.SA,2026-03-31,20.299999237060547,78343000.0,1590.3628402290344,,Yahoo Finance public market data via yfinance
